监控区域名称,监控区域编号,机组编号,机组名称,机型,是否停用,风机个体标识（43144为风力机）,自然风电场标识,省,备注,风机编号,风机设备功能位置标识
来安杨郢风电场,1239200,WT05737,B28,EN87-1500,0,4314405737,FLYAH01,安徽,,G061,FLYAH01G061
来安杨郢风电场,1239200,WT05738,B29,EN87-1500,0,4314405738,FLYAH01,安徽,,G062,FLYAH01G062
来安杨郢风电场,1239200,WT05739,B30,EN87-1500,0,4314405739,FLYAH01,安徽,,G063,FLYAH01G063
来安杨郢风电场,1239200,WT05740,B31,EN87-1500,0,4314405740,FLYAH01,安徽,,G064,FLYAH01G064
来安杨郢风电场,1239200,WT05741,B32,EN87-1500,0,4314405741,FLYAH01,安徽,,G065,FLYAH01G065
来安杨郢风电场,1239200,WT05742,B33,EN87-1500,0,4314405742,FLYAH01,安徽,,G066,FLYAH01G066
来安杨郢风电场,1239200,WT05743,C1,EN87-1500,0,4314405743,FLYAH01,安徽,,G067,FLYAH01G067
来安杨郢风电场,1239200,WT05744,C2,EN87-1500,0,4314405744,FLYAH01,安徽,,G068,FLYAH01G068
来安杨郢风电场,1239200,WT05745,C3,EN87-1500,0,4314405745,FLYAH01,安徽,,G069,FLYAH01G069
来安杨郢风电场,1239200,WT05746,C4,EN87-1500,0,4314405746,FLYAH01,安徽,,G070,FLYAH01G070
来安杨郢风电场,1239200,WT05747,C5,EN87-1500,0,4314405747,FLYAH01,安徽,,G071,FLYAH01G071
来安杨郢风电场,1239200,WT05748,C6,EN87-1500,0,4314405748,FLYAH01,安徽,,G072,FLYAH01G072
来安杨郢风电场,1239200,WT05749,C7,EN87-1500,0,4314405749,FLYAH01,安徽,,G073,FLYAH01G073
来安杨郢风电场,1239200,WT05750,C8,EN87-1500,0,4314405750,FLYAH01,安徽,,G074,FLYAH01G074
来安杨郢风电场,1239200,WT05751,C9,EN87-1500,0,4314405751,FLYAH01,安徽,,G075,FLYAH01G075
来安杨郢风电场,1239200,WT05752,C10,EN87-1500,0,4314405752,FLYAH01,安徽,,G076,FLYAH01G076
来安杨郢风电场,1239200,WT05753,C11,EN87-1500,0,4314405753,FLYAH01,安徽,,G077,FLYAH01G077
来安杨郢风电场,1239200,WT05754,C12,EN87-1500,0,4314405754,FLYAH01,安徽,,G078,FLYAH01G078
来安杨郢风电场,1239200,WT05755,C13,EN87-1500,0,4314405755,FLYAH01,安徽,,G079,FLYAH01G079
来安杨郢风电场,1239200,WT05756,C14,EN87-1500,0,4314405756,FLYAH01,安徽,,G080,FLYAH01G080
来安杨郢风电场,1239200,WT05757,C15,EN87-1500,0,4314405757,FLYAH01,安徽,,G081,FLYAH01G081
来安杨郢风电场,1239200,WT05758,C16,EN87-1500,0,4314405758,FLYAH01,安徽,,G082,FLYAH01G082
来安杨郢风电场,1239200,WT05759,C17,EN87-1500,0,4314405759,FLYAH01,安徽,,G083,FLYAH01G083
来安杨郢风电场,1239200,WT05760,C18,EN87-1500,0,4314405760,FLYAH01,安徽,,G084,FLYAH01G084
来安杨郢风电场,1239200,WT05761,C19,EN87-1500,0,4314405761,FLYAH01,安徽,,G085,FLYAH01G085
来安杨郢风电场,1239200,WT05762,C20,EN87-1500,0,4314405762,FLYAH01,安徽,,G086,FLYAH01G086
来安杨郢风电场,1239200,WT05763,C21,EN87-1500,0,4314405763,FLYAH01,安徽,,G087,FLYAH01G087
来安杨郢风电场,1239200,WT05764,C22,EN87-1500,0,4314405764,FLYAH01,安徽,,G088,FLYAH01G088
来安杨郢风电场,1239200,WT05765,C23,EN87-1500,0,4314405765,FLYAH01,安徽,,G089,FLYAH01G089
来安杨郢风电场,1239200,WT05766,C24,EN87-1500,0,4314405766,FLYAH01,安徽,,G090,FLYAH01G090
来安杨郢风电场,1239200,WT05767,C25,EN87-1500,0,4314405767,FLYAH01,安徽,,G091,FLYAH01G091
来安杨郢风电场,1239200,WT05768,C26,EN87-1500,0,4314405768,FLYAH01,安徽,,G092,FLYAH01G092
来安杨郢风电场,1239200,WT05769,C27,EN87-1500,0,4314405769,FLYAH01,安徽,,G093,FLYAH01G093
来安杨郢风电场,1239200,WT05770,C28,EN87-1500,0,4314405770,FLYAH01,安徽,,G094,FLYAH01G094
来安杨郢风电场,1239200,WT05771,C29,EN87-1500,0,4314405771,FLYAH01,安徽,,G095,FLYAH01G095
来安杨郢风电场,1239200,WT05772,C30,EN87-1500,0,4314405772,FLYAH01,安徽,,G096,FLYAH01G096
来安杨郢风电场,1239200,WT05773,C31,EN87-1500,0,4314405773,FLYAH01,安徽,,G097,FLYAH01G097
来安杨郢风电场,1239200,WT05774,C32,EN87-1500,0,4314405774,FLYAH01,安徽,,G098,FLYAH01G098
来安杨郢风电场,1239200,WT05775,C33,EN87-1500,0,4314405775,FLYAH01,安徽,,G099,FLYAH01G099
来安杨郢风电场,1239200,WT05776,D01,UP86-1500,0,4314405776,FLYAH01,安徽,,G100,FLYAH01G100
来安杨郢风电场,1239200,WT05777,D02,UP86-1500,0,4314405777,FLYAH01,安徽,,G101,FLYAH01G101
来安杨郢风电场,1239200,WT05778,D03,UP86-1500,0,4314405778,FLYAH01,安徽,,G102,FLYAH01G102
来安杨郢风电场,1239200,WT05779,D04,UP86-1500,0,4314405779,FLYAH01,安徽,,G103,FLYAH01G103
来安杨郢风电场,1239200,WT05780,D05,UP86-1500,0,4314405780,FLYAH01,安徽,,G104,FLYAH01G104
来安杨郢风电场,1239200,WT05781,D06,UP86-1500,0,4314405781,FLYAH01,安徽,,G105,FLYAH01G105
来安杨郢风电场,1239200,WT05782,D07,UP86-1500,0,4314405782,FLYAH01,安徽,,G106,FLYAH01G106
来安杨郢风电场,1239200,WT05783,D08,UP86-1500,0,4314405783,FLYAH01,安徽,,G107,FLYAH01G107
来安杨郢风电场,1239200,WT05784,D09,UP86-1500,0,4314405784,FLYAH01,安徽,,G108,FLYAH01G108
来安杨郢风电场,1239200,WT05785,D10,UP86-1500,0,4314405785,FLYAH01,安徽,,G109,FLYAH01G109
来安杨郢风电场,1239200,WT05786,D11,UP86-1500,0,4314405786,FLYAH01,安徽,,G110,FLYAH01G110
来安杨郢风电场,1239200,WT05787,D12,UP86-1500,0,4314405787,FLYAH01,安徽,,G111,FLYAH01G111
来安杨郢风电场,1239200,WT05788,D13,UP86-1500,0,4314405788,FLYAH01,安徽,,G112,FLYAH01G112
来安杨郢风电场,1239200,WT05789,D14,UP86-1500,0,4314405789,FLYAH01,安徽,,G113,FLYAH01G113
来安杨郢风电场,1239200,WT05790,D15,UP86-1500,0,4314405790,FLYAH01,安徽,,G114,FLYAH01G114
来安杨郢风电场,1239200,WT05791,D16,UP86-1500,0,4314405791,FLYAH01,安徽,,G115,FLYAH01G115
来安杨郢风电场,1239200,WT05792,D17,UP86-1500,0,4314405792,FLYAH01,安徽,,G116,FLYAH01G116
来安杨郢风电场,1239200,WT05793,D18,UP86-1500,0,4314405793,FLYAH01,安徽,,G117,FLYAH01G117
来安杨郢风电场,1239200,WT05794,D19,UP86-1500,0,4314405794,FLYAH01,安徽,,G118,FLYAH01G118
来安杨郢风电场,1239200,WT05795,D20,UP86-1500,0,4314405795,FLYAH01,安徽,,G119,FLYAH01G119
来安杨郢风电场,1239200,WT05796,D21,UP86-1500,0,4314405796,FLYAH01,安徽,,G120,FLYAH01G120
来安杨郢风电场,1239200,WT05797,D22,UP86-1500,0,4314405797,FLYAH01,安徽,,G121,FLYAH01G121
来安杨郢风电场,1239200,WT05798,D23,UP86-1500,0,4314405798,FLYAH01,安徽,,G122,FLYAH01G122
来安杨郢风电场,1239200,WT05799,D24,UP86-1500,0,4314405799,FLYAH01,安徽,,G123,FLYAH01G123
来安杨郢风电场,1239200,WT05800,D25,UP86-1500,0,4314405800,FLYAH01,安徽,,G124,FLYAH01G124
来安杨郢风电场,1239200,WT05801,D26,UP86-1500,0,4314405801,FLYAH01,安徽,,G125,FLYAH01G125
来安杨郢风电场,1239200,WT05802,D27,UP86-1500,0,4314405802,FLYAH01,安徽,,G126,FLYAH01G126
来安杨郢风电场,1239200,WT05803,D28,UP86-1500,0,4314405803,FLYAH01,安徽,,G127,FLYAH01G127
来安杨郢风电场,1239200,WT05804,D29,UP86-1500,0,4314405804,FLYAH01,安徽,,G128,FLYAH01G128
来安杨郢风电场,1239200,WT05805,D30,UP86-1500,0,4314405805,FLYAH01,安徽,,G129,FLYAH01G129
来安杨郢风电场,1239200,WT05806,D31,UP86-1500,0,4314405806,FLYAH01,安徽,,G130,FLYAH01G130
来安杨郢风电场,1239200,WT05807,D32,UP86-1500,0,4314405807,FLYAH01,安徽,,G131,FLYAH01G131
来安杨郢风电场,1239200,WT05808,D33,UP86-1500,0,4314405808,FLYAH01,安徽,,G132,FLYAH01G132
来安杨郢风电场,1239200,WT07018,E01,EN87-1500,0,4314407018,FLYAH01,安徽,,G133,FLYAH01G133
来安杨郢风电场,1239200,WT07180,E02,EN87-1500,0,4314407180,FLYAH01,安徽,,G134,FLYAH01G134
来安杨郢风电场,1239200,WT07150,E03,EN87-1500,0,4314407150,FLYAH01,安徽,,G135,FLYAH01G135
来安杨郢风电场,1239200,WT07151,E04,EN87-1500,0,4314407151,FLYAH01,安徽,,G136,FLYAH01G136
来安杨郢风电场,1239200,WT07152,E05,EN87-1500,0,4314407152,FLYAH01,安徽,,G137,FLYAH01G137
来安杨郢风电场,1239200,WT07153,E06,EN87-1500,0,4314407153,FLYAH01,安徽,,G138,FLYAH01G138
来安杨郢风电场,1239200,WT07154,E07,EN87-1500,0,4314407154,FLYAH01,安徽,,G139,FLYAH01G139
来安杨郢风电场,1239200,WT07155,E08,EN87-1500,0,4314407155,FLYAH01,安徽,,G140,FLYAH01G140
来安杨郢风电场,1239200,WT07156,E09,EN87-1500,0,4314407156,FLYAH01,安徽,,G141,FLYAH01G141
来安杨郢风电场,1239200,WT07157,E10,EN87-1500,0,4314407157,FLYAH01,安徽,,G142,FLYAH01G142
来安杨郢风电场,1239200,WT07028,E11,EN87-1500,0,4314407028,FLYAH01,安徽,,G143,FLYAH01G143
来安杨郢风电场,1239200,WT07158,E12,EN87-1500,0,4314407158,FLYAH01,安徽,,G144,FLYAH01G144
来安杨郢风电场,1239200,WT07159,E13,EN87-1500,0,4314407159,FLYAH01,安徽,,G145,FLYAH01G145
来安杨郢风电场,1239200,WT07160,E14,EN87-1500,0,4314407160,FLYAH01,安徽,,G146,FLYAH01G146
来安杨郢风电场,1239200,WT07161,E15,EN87-1500,0,4314407161,FLYAH01,安徽,,G147,FLYAH01G147
来安杨郢风电场,1239200,WT07162,E16,EN87-1500,0,4314407162,FLYAH01,安徽,,G148,FLYAH01G148
来安杨郢风电场,1239200,WT07163,E17,EN87-1500,0,4314407163,FLYAH01,安徽,,G149,FLYAH01G149
来安杨郢风电场,1239200,WT07164,E18,EN87-1500,0,4314407164,FLYAH01,安徽,,G150,FLYAH01G150
来安杨郢风电场,1239200,WT07165,E19,EN87-1500,0,4314407165,FLYAH01,安徽,,G151,FLYAH01G151
来安杨郢风电场,1239200,WT07166,E20,EN87-1500,0,4314407166,FLYAH01,安徽,,G152,FLYAH01G152
来安杨郢风电场,1239200,WT07167,E21,EN87-1500,0,4314407167,FLYAH01,安徽,,G153,FLYAH01G153
来安杨郢风电场,1239200,WT07168,E22,EN87-1500,0,4314407168,FLYAH01,安徽,,G154,FLYAH01G154
来安杨郢风电场,1239200,WT07169,E23,EN87-1500,0,4314407169,FLYAH01,安徽,,G155,FLYAH01G155
来安杨郢风电场,1239200,WT07170,E24,EN87-1500,0,4314407170,FLYAH01,安徽,,G156,FLYAH01G156
来安杨郢风电场,1239200,WT07171,E25,EN87-1500,0,4314407171,FLYAH01,安徽,,G157,FLYAH01G157
来安杨郢风电场,1239200,WT07172,E26,EN87-1500,0,4314407172,FLYAH01,安徽,,G158,FLYAH01G158
来安杨郢风电场,1239200,WT07173,E27,EN87-1500,0,4314407173,FLYAH01,安徽,,G159,FLYAH01G159
来安杨郢风电场,1239200,WT07174,E28,EN87-1500,0,4314407174,FLYAH01,安徽,,G160,FLYAH01G160
来安杨郢风电场,1239200,WT07175,E29,EN87-1500,0,4314407175,FLYAH01,安徽,,G161,FLYAH01G161
来安杨郢风电场,1239200,WT07176,E30,EN87-1500,0,4314407176,FLYAH01,安徽,,G162,FLYAH01G162
来安杨郢风电场,1239200,WT07177,E31,EN87-1500,0,4314407177,FLYAH01,安徽,,G163,FLYAH01G163
来安杨郢风电场,1239200,WT07178,E32,EN87-1500,0,4314407178,FLYAH01,安徽,,G164,FLYAH01G164
来安杨郢风电场,1239200,WT07179,E33,EN87-1500,0,4314407179,FLYAH01,安徽,,G165,FLYAH01G165
鲁山风电场,1239461,WT09502,A1,EN93-1500,0,4314409502,FLYAH02,安徽,,G001,FLYAH02G001
鲁山风电场,1239461,WT09503,A2,EN93-1500,0,4314409503,FLYAH02,安徽,,G002,FLYAH02G002
鲁山风电场,1239461,WT09504,A3,EN93-1500,0,4314409504,FLYAH02,安徽,,G003,FLYAH02G003
鲁山风电场,1239461,WT09505,A4,EN93-1500,0,4314409505,FLYAH02,安徽,,G004,FLYAH02G004
鲁山风电场,1239461,WT09506,A5,EN93-1500,0,4314409506,FLYAH02,安徽,,G005,FLYAH02G005
鲁山风电场,1239461,WT09507,A6,EN93-1500,0,4314409507,FLYAH02,安徽,,G006,FLYAH02G006
鲁山风电场,1239461,WT09508,A7,EN93-1500,0,4314409508,FLYAH02,安徽,,G007,FLYAH02G007
鲁山风电场,1239461,WT09509,A8,EN93-1500,0,4314409509,FLYAH02,安徽,,G008,FLYAH02G008
鲁山风电场,1239461,WT09510,A9,EN93-1500,0,4314409510,FLYAH02,安徽,,G009,FLYAH02G009
